Seventh_OA,Seventh_IA,Wayne_OA,Wayne_IA,Locust_EA,Locust_WA,Seventh_OG,Seventh_IG,Wayne_OG,Wayne_IG,Locust_EG,Locust_WG,Seventh_OR,Seventh_IR,Wayne_OR,Wayne_IR,Locust_ER,Locust_WR
8,25,186,3,76,103,33,17,16,47,10,18,52,90,102,33,152,88
13,84,35,1,69,157,37,13,15,61,14,23,29,248,85,33,225,68
3,146,82,3,65,82,19,18,17,86,9,22,26,83,90,33,177,125
5,106,7,8,22,254,13,12,20,33,13,10,40,88,128,38,84,66
22,262,18,5,202,53,38,12,15,33,11,16,56,69,62,71,91,81
9,132,60,12,92,213,44,22,18,33,9,19,17,228,90,74,168,88
3,76,2,3,163,108,40,24,17,33,16,12,37,90,64,68,86,88
6,12,75,6,5,94,38,13,17,34,14,15,24,89,91,75,61,87
8,196,53,3,143,17,61,23,17,32,14,15,15,82,145,46,82,70
7,36,9,14,158,17,48,17,17,33,9,17,29,69,74,76,63,68
10,89,34,15,122,49,50,15,16,33,15,23,33,80,87,77,88,84
14,212,9,11,50,44,29,14,18,31,11,22,49,72,85,48,165,84
20,5,60,2,5,35,46,13,17,46,16,20,53,95,96,50,86,87
23,191,4,11,370,120,14,23,17,33,12,22,38,71,80,44,65,89
20,29,84,20,29,200,38,13,17,33,13,22,47,224,83,65,199,90
21,225,21,6,29,5,48,,9,32,,20,14,68,60,24,86,70
30,26,41,23,171,56,13,,17,33,,22,38,,46,48,,69
8,81,40,4,195,20,33,,,42,,22,44,,80,44,,82
11,4,28,35,68,33,39,,,31,,26,30,,,35,,82
19,148,45,2,28,149,49,,,38,,,11,,,41,,81
13,43,4,2,65,41,30,,,,,,49,,,34,,
7,30,155,4,18,178,58,,,,,,32,,,,,
7,42,2,15,203,,32,,,,,,51,,,,,
11,444,3,5,78,,12,,,,,,37,,,,,
3,73,9,15,165,,52,,,,,,49,,,,,
3,244,8,3,397,,,,,,,,43,,,,,
65,122,5,3,32,,,,,,,,,,,,,
2,73,2,4,22,,,,,,,,,,,,,
3,544,14,6,48,,,,,,,,,,,,,
3,84,46,4,74,,,,,,,,,,,,,
2,,24,36,77,,,,,,,,,,,,,
23,,46,4,,,,,,,,,,,,,,
29,,19,4,,,,,,,,,,,,,,
4,,77,2,,,,,,,,,,,,,,
15,,3,2,,,,,,,,,,,,,,
3,,4,4,,,,,,,,,,,,,,
2,,3,18,,,,,,,,,,,,,,
8,,3,3,,,,,,,,,,,,,,
10,,24,6,,,,,,,,,,,,,,
17,,43,25,,,,,,,,,,,,,,
16,,6,7,,,,,,,,,,,,,,
18,,32,2,,,,,,,,,,,,,,
12,,2,2,,,,,,,,,,,,,,
10,,29,4,,,,,,,,,,,,,,
42,,39,6,,,,,,,,,,,,,,
18,,87,9,,,,,,,,,,,,,,
14,,4,2,,,,,,,,,,,,,,
25,,4,3,,,,,,,,,,,,,,
40,,14,6,,,,,,,,,,,,,,
7,,5,11,,,,,,,,,,,,,,
9,,23,37,,,,,,,,,,,,,,
21,,5,10,,,,,,,,,,,,,,
59,,2,2,,,,,,,,,,,,,,
5,,22,3,,,,,,,,,,,,,,
3,,7,3,,,,,,,,,,,,,,
6,,24,3,,,,,,,,,,,,,,
14,,38,22,,,,,,,,,,,,,,
15,,0,12,,,,,,,,,,,,,,
23,,23,7,,,,,,,,,,,,,,
98,,26,32,,,,,,,,,,,,,,
4,,8,4,,,,,,,,,,,,,,
4,,29,9,,,,,,,,,,,,,,
14,,16,6,,,,,,,,,,,,,,
16,,9,7,,,,,,,,,,,,,,
6,,44,6,,,,,,,,,,,,,,
16,,,7,,,,,,,,,,,,,,
40,,,5,,,,,,,,,,,,,,
17,,,4,,,,,,,,,,,,,,
21,,,2,,,,,,,,,,,,,,
22,,,4,,,,,,,,,,,,,,
24,,,19,,,,,,,,,,,,,,
4,,,7,,,,,,,,,,,,,,
4,,,3,,,,,,,,,,,,,,
5,,,3,,,,,,,,,,,,,,
56,,,26,,,,,,,,,,,,,,
4,,,7,,,,,,,,,,,,,,
39,,,4,,,,,,,,,,,,,,
29,,,7,,,,,,,,,,,,,,
2,,,16,,,,,,,,,,,,,,
3,,,3,,,,,,,,,,,,,,
37,,,9,,,,,,,,,,,,,,
18,,,12,,,,,,,,,,,,,,
29,,,1,,,,,,,,,,,,,,
4,,,1,,,,,,,,,,,,,,
17,,,9,,,,,,,,,,,,,,
13,,,4,,,,,,,,,,,,,,
25,,,18,,,,,,,,,,,,,,
30,,,9,,,,,,,,,,,,,,
8,,,53,,,,,,,,,,,,,,
23,,,5,,,,,,,,,,,,,,
3,,,5,,,,,,,,,,,,,,
2,,,3,,,,,,,,,,,,,,
2,,,2,,,,,,,,,,,,,,
19,,,5,,,,,,,,,,,,,,
11,,,43,,,,,,,,,,,,,,
27,,,4,,,,,,,,,,,,,,
4,,,1,,,,,,,,,,,,,,
5,,,2,,,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,,,
4,,,6,,,,,,,,,,,,,,
8,,,13,,,,,,,,,,,,,,
10,,,6,,,,,,,,,,,,,,
50,,,5,,,,,,,,,,,,,,
44,,,5,,,,,,,,,,,,,,
2,,,29,,,,,,,,,,,,,,
2,,,27,,,,,,,,,,,,,,
12,,,17,,,,,,,,,,,,,,
4,,,5,,,,,,,,,,,,,,
3,,,3,,,,,,,,,,,,,,
4,,,18,,,,,,,,,,,,,,
4,,,4,,,,,,,,,,,,,,
42,,,2,,,,,,,,,,,,,,
4,,,44,,,,,,,,,,,,,,
12,,,4,,,,,,,,,,,,,,
4,,,5,,,,,,,,,,,,,,
3,,,22,,,,,,,,,,,,,,
7,,,6,,,,,,,,,,,,,,
13,,,15,,,,,,,,,,,,,,
3,,,7,,,,,,,,,,,,,,
67,,,24,,,,,,,,,,,,,,
,,,8,,,,,,,,,,,,,,
,,,21,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,
,,,36,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,16,,,,,,,,,,,,,,
,,,12,,,,,,,,,,,,,,
,,,10,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,11,,,,,,,,,,,,,,
,,,22,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,13,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,16,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,12,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,10,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,
,,,34,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,15,,,,,,,,,,,,,,
,,,9,,,,,,,,,,,,,,
,,,22,,,,,,,,,,,,,,
,,,15,,,,,,,,,,,,,,
,,,23,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,12,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,
,,,48,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,
,,,15,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,39,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,10,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,,
,,,32,,,,,,,,,,,,,,
,,,21,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,
,,,33,,,,,,,,,,,,,,
